element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,2,"=""2886.420""","=""1.3e+07""","=""1.6e-02""",C,"=""24.371800""","=""28.66723""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4F""","=""5/2""",,
C,2,"=""2886.574""","=""3.2e+06""","=""2.6e+07""",E,"=""24.373054""","=""28.668257""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).5f""","=""2F""","=""7/2""",,
C,2,"=""2886.80""","=""1.4e+06""","=""5.e+06""",E,"=""24.371800""","=""28.66667""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4F""","=""3/2""",,
C,2,"=""2887.046""","=""5.0e+06""","=""6.3e-03""",C,"=""24.371800""","=""28.666300""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).5f""","=""2F""","=""5/2""",,
C,2,"=""2887.237""","=""6.3e+06""","=""7.9e-03""",C,"=""24.373054""","=""28.667271""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).5f""","=""4F""","=""7/2""",,
C,2,"=""2887.264""","=""4.2e+05""","=""4.0e-04""",E,"=""24.373054""","=""28.66723""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).5f""","=""4F""","=""5/2""",,
C,1,"=""2903.0462""","=""4.3e+05""","=""1.6e-03""",D,"=""8.84658790""","=""13.1174190""","=""2s2.2p.3p""","=""3P""","=""0""","=""2s.2p3""","=""3S*""","=""1""",,
C,1,"=""2904.0910""","=""1.3e+06""","=""1.6e-03""",D,"=""8.848124381""","=""13.1174190""","=""2s2.2p.3p""","=""3P""","=""1""","=""2s.2p3""","=""3S*""","=""1""",,
C,2,"=""2905.480""","=""4.25e+06""","=""5.38e-03""",B,"=""23.114048""","=""27.381301""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""1/2""",,
C,1,"=""2905.8187""","=""2.2e+06""","=""1.6e-03""",D,"=""8.850662829""","=""13.1174190""","=""2s2.2p.3p""","=""3P""","=""2""","=""2s.2p3""","=""3S*""","=""1""",,
C,2,"=""2906.571""","=""1.07e+07""","=""2.71e-02""",B,"=""23.114048""","=""27.379700""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,
C,2,"=""2906.860""","=""2.13e+07""","=""1.35e-02""",B,"=""23.116074""","=""27.381301""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""1/2""",,
C,3,"=""2907.60""","=""1.30e+07""","=""1.65e-02""",B,"=""42.986900""","=""47.25105""","=""1s2.2p.(2P*).3d""","=""1P*""","=""1""","=""1s2.2p.(2P*).4p""","=""1P""","=""1""",,
C,2,"=""2907.952""","=""3.42e+06""","=""4.33e-03""",B,"=""23.116074""","=""27.379700""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,
C,2,"=""2909.686""","=""7.66e+06""","=""1.46e-02""",B,"=""23.116074""","=""27.377159""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""",,
C,2,"=""2909.841""","=""1.15e+07""","=""9.73e-03""",B,"=""23.118841""","=""27.379700""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,
C,2,"=""2911.577""","=""1.78e+07""","=""2.26e-02""",B,"=""23.118841""","=""27.377159""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""",,
C,4,"=""2935.77""","=""1.81e+06""","=""2.34e-03""",B+,"=""55.77903""","=""[60.00225]""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",,
C,4,"=""2935.92""","=""1.62e+07""","=""1.40e-02""",B+,"=""55.77924""","=""[60.00225]""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",,
C,4,"=""2935.98""","=""1.81e+07""","=""1.17e-02""",B+,"=""55.77903""","=""[60.00195]""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",,
