element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
He,1,"=""19548.17372""","=""6.4534e+05""","=""1.2324e-02""",AAA,"=""[23.07365649967]""","=""[23.7079060221]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""0""",,
He,1,"=""19548.42642""","=""4.8389e+05""","=""1.6633e-02""",AAA,"=""[23.07365101981]""","=""[23.7078923433]""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",,
He,1,"=""19548.45120""","=""5.4209e+05""","=""2.2183e-02""",AAA,"=""[23.07365070854]""","=""[23.7078912279]""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",,
He,1,"=""19548.46079""","=""9.6778e+04""","=""5.5444e-03""",AAA,"=""[23.07365101981]""","=""[23.7078912279]""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",,
He,1,"=""19548.59532""","=""1.6134e+05""","=""9.2434e-03""",AAA,"=""[23.07365649967]""","=""[23.7078923433]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""1""",,
He,1,"=""19548.62970""","=""6.4534e+03""","=""6.1621e-04""",AAA,"=""[23.07365649967]""","=""[23.7078912279]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""2""",,
He,1,"=""19561.49673""","=""1.150e+02""","=""3.958e-06""",AA,"=""[23.07407479777]""","=""[23.7078923433]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""3P*""","=""1""",,
He,1,"=""19561.53115""","=""2.354e+01""","=""1.350e-06""",AA,"=""[23.07407479777]""","=""[23.7078912279]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""3P*""","=""2""",,
He,1,"=""19597.61340""","=""3.5063e+05""","=""3.3648e-02""",AAA,"=""[23.74207006880]""","=""[24.374719544511]""","=""1s.4p""","=""1P*""","=""1""","=""1s.8d""","=""1D""","=""2""",,
He,1,"=""19833.98068""","=""2.8512e+05""","=""5.6051e-03""",AAA,"=""[23.74207006880]""","=""[24.3671800778]""","=""1s.4p""","=""1P*""","=""1""","=""1s.8s""","=""1S""","=""0""",,
He,1,"=""20430.41148""","=""1.1524e+05""","=""2.4038e-03""",AAA,"=""[23.593958713]""","=""[24.20081970804]""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",,
He,1,"=""20430.54389""","=""1.1524e+05""","=""7.2114e-03""",AAA,"=""[23.593958713]""","=""[24.20081577498]""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",,
He,1,"=""20430.55468""","=""1.1524e+05""","=""1.2019e-02""",AAA,"=""[23.593958713]""","=""[24.20081545451]""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",,
He,1,"=""20586.90463""","=""1.9746e+06""","=""3.7639e-01""",AAA,"=""[20.615774823]""","=""[21.2180227112]""","=""1s.2s""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,
He,1,"=""20607.35852""","=""1.4462e+04""","=""5.5243e-04""",AAA,"=""[23.7078912279]""","=""[24.309541353601]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",,
He,1,"=""20607.37313""","=""1.3015e+05""","=""8.2860e-03""",AAA,"=""[23.7078912279]""","=""[24.309540927161]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",,
He,1,"=""20607.37415""","=""5.2063e+05""","=""4.6404e-02""",AAA,"=""[23.7078912279]""","=""[24.309540897300]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",,
He,1,"=""20607.39672""","=""2.1693e+05""","=""1.3811e-02""",AAA,"=""[23.7078923433]""","=""[24.309541353601]""","=""1s.4p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",,
He,1,"=""20607.41133""","=""3.9044e+05""","=""4.1429e-02""",AAA,"=""[23.7078923433]""","=""[24.309540927161]""","=""1s.4p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",,
