element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
O,4,"=""266.9314""","=""1.40e+10""","=""1.50e-01""",B,"=""15.73810""","=""62.18606""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,
O,4,"=""266.9413""","=""9.98e+08""","=""1.60e-02""",B,"=""15.73982""","=""62.18606""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,
O,3,"=""266.97163""","=""3.69e+09""","=""1.18e-01""",C+,"=""0.0000000""","=""46.440965""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""",,
O,4,"=""266.9707""","=""1.50e+09""","=""1.07e-02""",B,"=""15.73810""","=""62.17922""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,
O,3,"=""266.98681""","=""4.98e+09""","=""8.87e-02""",C+,"=""0.0140323""","=""46.452356""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""",,
O,4,"=""266.9806""","=""1.35e+10""","=""1.44e-01""",B,"=""15.73982""","=""62.17922""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,
O,3,"=""267.03056""","=""6.63e+09""","=""9.92e-02""",C+,"=""0.0379607""","=""46.468675""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""3""",,
O,3,"=""267.05232""","=""2.76e+09""","=""2.95e-02""",C+,"=""0.0140323""","=""46.440965""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""",,
O,3,"=""267.12445""","=""1.66e+09""","=""1.78e-02""",C+,"=""0.0379607""","=""46.452356""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""",,
O,3,"=""267.19003""","=""1.84e+08""","=""1.18e-03""",C,"=""0.0379607""","=""46.440965""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3D*""","=""1""",,
O,4,"=""269.554""","=""6.36e+09""","=""6.93e-02""",B,"=""35.83334""","=""81.8293""","=""2p3""","=""2P*""","=""1/2""","=""2p2.(1D).3d""","=""2P""","=""1/2""",,
O,4,"=""269.554""","=""1.59e+09""","=""3.46e-02""",B,"=""35.83334""","=""81.8293""","=""2p3""","=""2P*""","=""1/2""","=""2p2.(1D).3d""","=""2P""","=""3/2""",,
O,4,"=""269.560""","=""7.94e+09""","=""8.65e-02""",B,"=""35.83435""","=""81.8293""","=""2p3""","=""2P*""","=""3/2""","=""2p2.(1D).3d""","=""2P""","=""3/2""",,
O,4,"=""269.560""","=""3.18e+09""","=""1.73e-02""",B,"=""35.83435""","=""81.8293""","=""2p3""","=""2P*""","=""3/2""","=""2p2.(1D).3d""","=""2P""","=""1/2""",,
O,5,"=""270.7235""","=""1.88e+07""","=""6.20e-04""",D,"=""26.46598""","=""72.26333""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2s.3p""","=""3P*""","=""1""",,
O,5,"=""270.7810""","=""1.44e+07""","=""2.64e-04""",D,"=""26.48528""","=""72.27291""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""3P*""","=""2""",,
O,5,"=""270.8376""","=""1.38e+07""","=""1.52e-04""",D,"=""26.48528""","=""72.26333""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""3P*""","=""1""",,
O,5,"=""270.8646""","=""5.57e+07""","=""2.04e-04""",D,"=""26.48528""","=""72.25878""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""3P*""","=""0""",,
O,5,"=""270.9783""","=""4.24e+07""","=""4.67e-04""",D,"=""26.51861""","=""72.27291""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2s.3p""","=""3P*""","=""2""",,
O,5,"=""271.0350""","=""2.31e+07""","=""1.53e-04""",D,"=""26.51861""","=""72.26333""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2s.3p""","=""3P*""","=""1""",,
O,3,"=""271.39465""","=""7.91e+08""","=""1.22e-02""",C,"=""7.479321""","=""53.163419""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).4s""","=""5P""","=""3""",,
O,3,"=""271.51601""","=""7.90e+08""","=""8.73e-03""",C,"=""7.479321""","=""53.143000""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).4s""","=""5P""","=""2""",,
O,3,"=""271.60917""","=""7.89e+08""","=""5.24e-03""",C,"=""7.479321""","=""53.127337""","=""2s.2p3""","=""5S*""","=""2""","=""2s.2p2.(4P).4s""","=""5P""","=""1""",,
O,4,"=""271.9898""","=""3.10e+09""","=""5.16e-02""",B,"=""8.87356""","=""54.45769""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",,
O,4,"=""272.0762""","=""4.31e+09""","=""9.57e-02""",B,"=""8.85741""","=""54.42707""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",,
O,4,"=""272.1271""","=""7.23e+09""","=""8.03e-02""",B,"=""8.89655""","=""54.45769""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",,
O,4,"=""272.1727""","=""1.38e+09""","=""1.53e-02""",B,"=""8.87356""","=""54.42707""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",,
O,4,"=""272.1761""","=""1.72e+09""","=""1.91e-02""",B,"=""8.85741""","=""54.41034""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",,
O,4,"=""272.2727""","=""8.60e+09""","=""4.78e-02""",B,"=""8.87356""","=""54.41034""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",,
O,4,"=""272.3101""","=""4.64e+09""","=""3.44e-02""",B,"=""8.89655""","=""54.42707""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",,
O,6,"=""272.334""","=""1.30e+09""","=""2.89e-02""",A,"=""82.58751""","=""128.1141""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,
O,6,"=""272.432""","=""1.56e+09""","=""2.60e-02""",A,"=""82.60693""","=""128.1171""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,
O,6,"=""272.450""","=""2.60e+08""","=""2.89e-03""",A,"=""82.60693""","=""128.1141""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,
O,4,"=""272.9720""","=""3.13e+07""","=""6.99e-04""",C,"=""22.37677""","=""67.79688""","=""2s.2p2""","=""2P""","=""1/2""","=""2s2.5p""","=""2P*""","=""3/2""",,
O,4,"=""272.9834""","=""1.25e+08""","=""1.40e-03""",C,"=""22.37677""","=""67.79498""","=""2s.2p2""","=""2P""","=""1/2""","=""2s2.5p""","=""2P*""","=""1/2""",,
O,4,"=""273.1535""","=""1.56e+08""","=""1.75e-03""",C+,"=""22.40695""","=""67.79688""","=""2s.2p2""","=""2P""","=""3/2""","=""2s2.5p""","=""2P*""","=""3/2""",,
O,4,"=""273.1649""","=""6.24e+07""","=""3.49e-04""",C,"=""22.40695""","=""67.79498""","=""2s.2p2""","=""2P""","=""3/2""","=""2s2.5p""","=""2P*""","=""1/2""",,
O,6,"=""274.223""","=""2.31e+08""","=""2.60e-03""",B+,"=""82.58751""","=""127.800""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,
O,6,"=""274.341""","=""4.61e+08""","=""2.60e-03""",B+,"=""82.60693""","=""127.800""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,
O,3,"=""275.28236""","=""4.06e+08""","=""1.38e-02""",D,"=""0.0000000""","=""45.038919""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",,
O,3,"=""275.36815""","=""1.22e+09""","=""1.39e-02""",C,"=""0.0140323""","=""45.038919""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",,
O,3,"=""275.51457""","=""2.02e+09""","=""1.38e-02""",C,"=""0.0379607""","=""45.038919""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p2.(4P).3p""","=""3S*""","=""1""",,
O,3,"=""277.38566""","=""9.43e+09""","=""1.52e-01""",B,"=""2.513565""","=""47.210972""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.(2P*).4d""","=""1F*""","=""3""",,
O,4,"=""279.6309""","=""2.68e+09""","=""3.14e-02""",B,"=""0.00000""","=""44.33852""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.3s""","=""2S""","=""1/2""",,
O,3,"=""279.78793""","=""4.25e+09""","=""4.99e-02""",C+,"=""2.513565""","=""46.827199""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.(2P*).4d""","=""1D*""","=""2""",,
O,4,"=""279.9330""","=""5.34e+09""","=""3.14e-02""",B,"=""0.04785""","=""44.33852""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3s""","=""2S""","=""1/2""",,
