ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""69467.56""","=""6.8858e+02""","=""3.1136e-03""",AAA,"=""13.38596103""","=""[13.56443886]""","=""8""","=""""","=""""","=""20""","=""""","=""""",,
"=""70927.08""","=""9.0700e+02""","=""3.8585e-03""",AAA,"=""13.38596103""","=""[13.56076619]""","=""8""","=""""","=""""","=""19""","=""""","=""""",,
"=""72716.51""","=""1.2159e+03""","=""4.8798e-03""",AAA,"=""13.38596103""","=""[13.55646454]""","=""8""","=""""","=""""","=""18""","=""""","=""""",,
"=""74597.1725""","=""3.7456e+05""","=""6.2496e-01""",AAA,"=""13.054498182""","=""[13.22070313941]""","=""5p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,
"=""74597.2976""","=""2.4295e+05""","=""4.0537e-01""",AAA,"=""[13.054498464]""","=""[13.22070314214]""","=""5s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
"=""74597.8520""","=""8.9393e+04""","=""7.4579e-02""",AAA,"=""13.054498182""","=""13.22070162532""","=""5p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,
"=""74598.0517""","=""2.4296e+05""","=""2.0270e-01""",AAA,"=""[13.054498464]""","=""[13.22070146198]""","=""5s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
"=""74598.2191""","=""6.7504e+05""","=""8.4476e-01""",AAA,"=""13.054501074""","=""(13.220703699081)""","=""5d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",,
"=""74598.2244""","=""4.4948e+05""","=""5.6249e-01""",AAA,"=""13.054501086""","=""13.22070369934""","=""5p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,
"=""74598.4691""","=""9.5934e+03""","=""8.0037e-03""",AAA,"=""13.054501074""","=""[13.22070314214]""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",,
"=""74598.4757""","=""7.4915e+04""","=""6.2501e-02""",AAA,"=""13.054501086""","=""[13.22070313941]""","=""5p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,
"=""74598.5277""","=""7.2326e+05""","=""8.0455e-01""",AAA,"=""[13.054502042]""","=""(13.220703979103)""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",,
"=""74598.5300914""","=""1.0662e+06""","=""1.1860e+00""",AAA,"=""(13.054502046336)""","=""(13.220703978574)""","=""5f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",,
"=""74598.6534""","=""4.8217e+04""","=""4.0227e-02""",AAA,"=""[13.054502042]""","=""(13.220703699081)""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",,
"=""74598.655424""","=""1.8609e+03""","=""1.5525e-03""",AAA,"=""(13.054502046336)""","=""13.22070369934""","=""5f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",,
"=""74598.670""","=""1.1057e+06""","=""1.1531e+00""",AAA,"=""13.054502526""","=""(13.220704146589)""","=""5f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",,
"=""74598.6716042""","=""1.6083e+06""","=""1.6772e+00""",AAA,"=""(13.054502529303)""","=""(13.220704146258)""","=""5g""","=""2G""","=""7/2""","=""6h""","=""2H*""","=""9/2""",,
"=""74598.745""","=""3.9489e+04""","=""3.2946e-02""",AAA,"=""13.054502526""","=""(13.220703978574)""","=""5f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",,
"=""74598.7466311""","=""3.1591e+02""","=""2.6356e-04""",AAA,"=""(13.054502529303)""","=""(13.220703979103)""","=""5g""","=""2G""","=""7/2""","=""6f""","=""2F*""","=""7/2""",,
"=""74598.7516407""","=""1.6448e+06""","=""1.6467e+00""",AAA,"=""(13.054502819633)""","=""(13.220704258272)""","=""5g""","=""2G""","=""9/2""","=""6h""","=""2H*""","=""11/2""",,
"=""74598.8019175""","=""3.6552e+04""","=""3.0495e-02""",AAA,"=""(13.054502819633)""","=""(13.220704146258)""","=""5g""","=""2G""","=""9/2""","=""6h""","=""2H*""","=""9/2""",,
"=""74598.871""","=""3.7220e+04""","=""2.3289e-02""",AAA,"=""13.054502526""","=""13.22070369934""","=""5f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",,
"=""74598.8723179""","=""1.1373e+04""","=""7.1164e-03""",AAA,"=""(13.054502529303)""","=""(13.220703699081)""","=""5g""","=""2G""","=""7/2""","=""6f""","=""2F*""","=""5/2""",,
"=""74598.8769446""","=""1.1057e+04""","=""7.3799e-03""",AAA,"=""(13.054502819633)""","=""(13.220703979103)""","=""5g""","=""2G""","=""9/2""","=""6f""","=""2F*""","=""7/2""",,
"=""74598.9034""","=""8.6344e+04""","=""4.8025e-02""",AAA,"=""[13.054502042]""","=""[13.22070314214]""","=""5d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",,
"=""74598.90674""","=""3.9082e+04""","=""2.1737e-02""",AAA,"=""(13.054502046336)""","=""[13.22070313941]""","=""5f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",,
"=""74598.4""","=""1.0254e+06""","=""1.2319e+00""",AAA,"=""13.0545017""","=""13.22070389""","=""5""","=""""","=""""","=""6""","=""""","=""""",,
"=""74599.1553""","=""1.7880e+05""","=""7.4587e-02""",AAA,"=""13.054501086""","=""13.22070162532""","=""5p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,
"=""74599.2233""","=""9.5946e+04""","=""4.0024e-02""",AAA,"=""13.054501074""","=""[13.22070146198]""","=""5d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",,
"=""74950.87""","=""1.6635e+03""","=""6.3265e-03""",AAA,"=""13.38596103""","=""[13.55138166]""","=""8""","=""""","=""""","=""17""","=""""","=""""",,
"=""75025.02""","=""1.5609e+05""","=""2.3407e-01""",AAA,"=""13.22070389""","=""13.38596103""","=""6""","=""""","=""""","=""8""","=""""","=""""",,
"=""75081.07""","=""2.1174e+04""","=""4.4169e-02""",AAA,"=""13.32091817""","=""13.48605194""","=""7""","=""""","=""""","=""11""","=""""","=""""",,
"=""77803.66""","=""2.3306e+03""","=""8.4602e-03""",AAA,"=""13.38596103""","=""[13.54531624]""","=""8""","=""""","=""""","=""16""","=""""","=""""",,
"=""81548.87""","=""3.3586e+03""","=""1.1772e-02""",AAA,"=""13.38596103""","=""[13.53799772]""","=""8""","=""""","=""""","=""15""","=""""","=""""",,
"=""86644.98""","=""5.0098e+03""","=""1.7268e-02""",AAA,"=""13.38596103""","=""[13.52905552]""","=""8""","=""""","=""""","=""14""","=""""","=""""",,
"=""87600.68""","=""3.9049e+04""","=""9.1636e-02""",AAA,"=""13.32091817""","=""13.46245155""","=""7""","=""""","=""""","=""10""","=""""","=""""",,
"=""92605.26""","=""6.4524e+02""","=""4.0966e-03""",AAA,"=""13.43055424""","=""[13.56443886]""","=""9""","=""""","=""""","=""20""","=""""","=""""",,
"=""93920.13""","=""7.8037e+03""","=""2.7251e-02""",AAA,"=""13.38596103""","=""[13.51797128]""","=""8""","=""""","=""""","=""13""","=""""","=""""",,
"=""95217.22""","=""8.5550e+02""","=""5.1824e-03""",AAA,"=""13.43055424""","=""[13.56076619]""","=""9""","=""""","=""""","=""19""","=""""","=""""",,
"=""98470.25""","=""1.1562e+03""","=""6.7228e-03""",AAA,"=""13.43055424""","=""[13.55646454]""","=""9""","=""""","=""""","=""18""","=""""","=""""",,
"=""102612.63""","=""1.5979e+03""","=""8.9994e-03""",AAA,"=""13.43055424""","=""[13.55138166]""","=""9""","=""""","=""""","=""17""","=""""","=""""",,
"=""105034.94""","=""1.2870e+04""","=""4.7894e-02""",AAA,"=""13.38596103""","=""13.50400193""","=""8""","=""""","=""""","=""12""","=""""","=""""",,
"=""108035.93""","=""2.2679e+03""","=""1.2542e-02""",AAA,"=""13.43055424""","=""[13.54531624]""","=""9""","=""""","=""""","=""16""","=""""","=""""",,
"=""113087.06""","=""8.2370e+04""","=""2.6090e-01""",AAA,"=""13.32091817""","=""13.43055424""","=""7""","=""""","=""""","=""9""","=""""","=""""",,
"=""115394.81""","=""3.3253e+03""","=""1.8440e-02""",AAA,"=""13.43055424""","=""[13.53799772]""","=""9""","=""""","=""""","=""15""","=""""","=""""",,
"=""121568.26""","=""6.1733e+02""","=""5.4711e-03""",AAA,"=""13.46245155""","=""[13.56443886]""","=""10""","=""""","=""""","=""20""","=""""","=""""",,
"=""123719.1""","=""4.5608e+05""","=""1.4245e+00""",AAA,"=""13.22070389""","=""13.32091817""","=""6""","=""""","=""""","=""7""","=""""","=""""",,
"=""123871.58""","=""2.3007e+04""","=""1.0006e-01""",AAA,"=""13.38596103""","=""13.48605194""","=""8""","=""""","=""""","=""11""","=""""","=""""",,
"=""125870.65""","=""5.0797e+03""","=""2.9195e-02""",AAA,"=""13.43055424""","=""[13.52905552]""","=""9""","=""""","=""""","=""14""","=""""","=""""",,
"=""126109.61""","=""8.2526e+02""","=""7.1032e-03""",AAA,"=""13.46245155""","=""[13.56076619]""","=""10""","=""""","=""""","=""19""","=""""","=""""",,
"=""131879.86""","=""1.1269e+03""","=""9.5202e-03""",AAA,"=""13.46245155""","=""[13.55646454]""","=""10""","=""""","=""""","=""18""","=""""","=""""",,
"=""139417.6""","=""1.5782e+03""","=""1.3291e-02""",AAA,"=""13.46245155""","=""[13.55138166]""","=""10""","=""""","=""""","=""17""","=""""","=""""",,
"=""141830.7""","=""8.1919e+03""","=""5.1545e-02""",AAA,"=""13.43055424""","=""[13.51797128]""","=""9""","=""""","=""""","=""13""","=""""","=""""",,
"=""149622.5""","=""2.2796e+03""","=""1.9586e-02""",AAA,"=""13.46245155""","=""[13.54531624]""","=""10""","=""""","=""""","=""16""","=""""","=""""",,
"=""158169.5""","=""6.0262e+02""","=""7.4717e-03""",AAA,"=""13.48605194""","=""[13.56443886]""","=""11""","=""""","=""""","=""20""","=""""","=""""",,
"=""162090.9""","=""4.6762e+04""","=""2.8780e-01""",AAA,"=""13.38596103""","=""13.46245155""","=""8""","=""""","=""""","=""10""","=""""","=""""",,
"=""164117.1""","=""3.4241e+03""","=""3.1110e-02""",AAA,"=""13.46245155""","=""[13.53799772]""","=""10""","=""""","=""""","=""15""","=""""","=""""",,
"=""165944.5""","=""8.1411e+02""","=""1.0027e-02""",AAA,"=""13.48605194""","=""[13.56076619]""","=""11""","=""""","=""""","=""19""","=""""","=""""",,
"=""168806.1""","=""1.4269e+04""","=""1.0837e-01""",AAA,"=""13.43055424""","=""13.50400193""","=""9""","=""""","=""""","=""12""","=""""","=""""",,
"=""176082.4""","=""1.1267e+03""","=""1.4024e-02""",AAA,"=""13.48605194""","=""[13.55646454]""","=""11""","=""""","=""""","=""18""","=""""","=""""",,
"=""186151.4""","=""5.4172e+03""","=""5.5159e-02""",AAA,"=""13.46245155""","=""[13.52905552]""","=""10""","=""""","=""""","=""14""","=""""","=""""",,
"=""189782.2""","=""1.6062e+03""","=""2.0715e-02""",AAA,"=""13.48605194""","=""[13.55138166]""","=""11""","=""""","=""""","=""17""","=""""","=""""",,
"=""190619.2""","=""2.2720e+05""","=""1.6148e+00""",AAA,"=""13.32091817""","=""13.38596103""","=""7""","=""""","=""""","=""8""","=""""","=""""",,
"=""205146.4""","=""6.0050e+02""","=""1.0524e-02""",AAA,"=""13.50400193""","=""[13.56443886]""","=""12""","=""""","=""""","=""20""","=""""","=""""",,
