ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""912.323660""","=""1.2258e+02""","=""2.4474e-05""",AAA,"=""0.00000000000000""","=""[13.58993566]""","=""1s""","=""2S""","=""1/2""","=""40""","=""""","=""""",,
"=""912.353295""","=""1.3913e+02""","=""2.6407e-05""",AAA,"=""0.00000000000000""","=""[13.58949423]""","=""1s""","=""2S""","=""1/2""","=""39""","=""""","=""""",,
"=""912.385303""","=""1.5843e+02""","=""2.8550e-05""",AAA,"=""0.00000000000000""","=""[13.58901750]""","=""1s""","=""2S""","=""1/2""","=""38""","=""""","=""""",,
"=""912.419943""","=""1.8103e+02""","=""3.0931e-05""",AAA,"=""0.00000000000000""","=""[13.58850159]""","=""1s""","=""2S""","=""1/2""","=""37""","=""""","=""""",,
"=""912.457513""","=""2.0762e+02""","=""3.3585e-05""",AAA,"=""0.00000000000000""","=""[13.58794208]""","=""1s""","=""2S""","=""1/2""","=""36""","=""""","=""""",,
"=""912.498352""","=""2.3903e+02""","=""3.6551e-05""",AAA,"=""0.00000000000000""","=""[13.58733395]""","=""1s""","=""2S""","=""1/2""","=""35""","=""""","=""""",,
"=""912.542852""","=""2.7631e+02""","=""3.9877e-05""",AAA,"=""0.00000000000000""","=""[13.58667137]""","=""1s""","=""2S""","=""1/2""","=""34""","=""""","=""""",,
"=""912.591463""","=""3.2081e+02""","=""4.3619e-05""",AAA,"=""0.00000000000000""","=""[13.58594765]""","=""1s""","=""2S""","=""1/2""","=""33""","=""""","=""""",,
"=""912.644709""","=""3.7418e+02""","=""4.7845e-05""",AAA,"=""0.00000000000000""","=""[13.58515502]""","=""1s""","=""2S""","=""1/2""","=""32""","=""""","=""""",,
"=""912.703197""","=""4.3857e+02""","=""5.2635e-05""",AAA,"=""0.00000000000000""","=""[13.58428445]""","=""1s""","=""2S""","=""1/2""","=""31""","=""""","=""""",,
"=""912.767639""","=""5.1673e+02""","=""5.8087e-05""",AAA,"=""0.00000000000000""","=""[13.58332538]""","=""1s""","=""2S""","=""1/2""","=""30""","=""""","=""""",,
"=""912.838873""","=""6.1221e+02""","=""6.4319e-05""",AAA,"=""0.00000000000000""","=""[13.58226541]""","=""1s""","=""2S""","=""1/2""","=""29""","=""""","=""""",,
"=""912.917887""","=""7.2967e+02""","=""7.1476e-05""",AAA,"=""0.00000000000000""","=""[13.58108984]""","=""1s""","=""2S""","=""1/2""","=""28""","=""""","=""""",,
"=""913.005859""","=""8.7524e+02""","=""7.9736e-05""",AAA,"=""0.00000000000000""","=""[13.57978125]""","=""1s""","=""2S""","=""1/2""","=""27""","=""""","=""""",,
"=""913.104195""","=""1.0571e+03""","=""8.9321e-05""",AAA,"=""0.00000000000000""","=""[13.57831878]""","=""1s""","=""2S""","=""1/2""","=""26""","=""""","=""""",,
"=""913.214592""","=""1.2862e+03""","=""1.0051e-04""",AAA,"=""0.00000000000000""","=""[13.57667733]""","=""1s""","=""2S""","=""1/2""","=""25""","=""""","=""""",,
"=""913.339105""","=""1.5776e+03""","=""1.1364e-04""",AAA,"=""0.00000000000000""","=""[13.57482645]""","=""1s""","=""2S""","=""1/2""","=""24""","=""""","=""""",,
"=""913.480251""","=""1.9519e+03""","=""1.2917e-04""",AAA,"=""0.00000000000000""","=""[13.57272894]""","=""1s""","=""2S""","=""1/2""","=""23""","=""""","=""""",,
"=""913.641133""","=""2.4380e+03""","=""1.4767e-04""",AAA,"=""0.00000000000000""","=""[13.57033894]""","=""1s""","=""2S""","=""1/2""","=""22""","=""""","=""""",,
"=""913.825609""","=""3.0769e+03""","=""1.6987e-04""",AAA,"=""0.00000000000000""","=""[13.56759946]""","=""1s""","=""2S""","=""1/2""","=""21""","=""""","=""""",,
"=""914.038537""","=""3.9276e+03""","=""1.9677e-04""",AAA,"=""0.00000000000000""","=""[13.56443886]""","=""1s""","=""2S""","=""1/2""","=""20""","=""""","=""""",,
"=""914.286086""","=""5.0767e+03""","=""2.2967e-04""",AAA,"=""0.00000000000000""","=""[13.56076619]""","=""1s""","=""2S""","=""1/2""","=""19""","=""""","=""""",,
"=""914.576201""","=""6.6540e+03""","=""2.7035e-04""",AAA,"=""0.00000000000000""","=""[13.55646454]""","=""1s""","=""2S""","=""1/2""","=""18""","=""""","=""""",,
"=""914.919242""","=""8.8574e+03""","=""3.2124e-04""",AAA,"=""0.00000000000000""","=""[13.55138166]""","=""1s""","=""2S""","=""1/2""","=""17""","=""""","=""""",,
"=""915.328932""","=""1.1997e+04""","=""3.8577e-04""",AAA,"=""0.00000000000000""","=""[13.54531624]""","=""1s""","=""2S""","=""1/2""","=""16""","=""""","=""""",,
"=""915.823751""","=""1.6572e+04""","=""4.6886e-04""",AAA,"=""0.00000000000000""","=""[13.53799772]""","=""1s""","=""2S""","=""1/2""","=""15""","=""""","=""""",,
"=""916.429076""","=""2.3409e+04""","=""5.7769e-04""",AAA,"=""0.00000000000000""","=""[13.52905552]""","=""1s""","=""2S""","=""1/2""","=""14""","=""""","=""""",,
"=""917.180514""","=""3.3927e+04""","=""7.2310e-04""",AAA,"=""0.00000000000000""","=""[13.51797128]""","=""1s""","=""2S""","=""1/2""","=""13""","=""""","=""""",,
"=""918.129300""","=""5.0659e+04""","=""9.2190e-04""",AAA,"=""0.00000000000000""","=""13.50400193""","=""1s""","=""2S""","=""1/2""","=""12""","=""""","=""""",,
"=""918.1293046""","=""2.4317e+06""","=""6.1461e-04""",AAA,"=""0.00000000000000""","=""[13.504001867]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",,
"=""918.1293188""","=""2.4316e+06""","=""3.0729e-04""",AAA,"=""0.00000000000000""","=""[13.504001658]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",,
"=""919.351334""","=""7.8340e+04""","=""1.2011e-03""",AAA,"=""0.00000000000000""","=""13.48605194""","=""1s""","=""2S""","=""1/2""","=""11""","=""""","=""""",,
"=""919.3513419""","=""3.1597e+06""","=""8.0074e-04""",AAA,"=""0.00000000000000""","=""[13.486051827]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",,
"=""919.3513605""","=""3.1597e+06""","=""4.0037e-04""",AAA,"=""0.00000000000000""","=""[13.486051554]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",,
"=""920.963006""","=""1.2631e+05""","=""1.6062e-03""",AAA,"=""0.00000000000000""","=""13.46245155""","=""1s""","=""2S""","=""1/2""","=""10""","=""""","=""""",,
"=""920.9630145""","=""4.2105e+06""","=""1.0708e-03""",AAA,"=""0.00000000000000""","=""[13.462451421]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",,
"=""920.9630394""","=""4.2104e+06""","=""5.3538e-04""",AAA,"=""0.00000000000000""","=""[13.462451058]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",,
"=""923.150275""","=""2.1425e+05""","=""2.2172e-03""",AAA,"=""0.00000000000000""","=""13.43055424""","=""1s""","=""2S""","=""1/2""","=""9""","=""""","=""""",,
"=""923.1502850""","=""5.7848e+06""","=""1.4781e-03""",AAA,"=""0.00000000000000""","=""[13.430554098]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",,
"=""923.1503193""","=""5.7847e+06""","=""7.3906e-04""",AAA,"=""0.00000000000000""","=""[13.430553600]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",,
"=""926.225621017""","=""8.2547e+06""","=""2.1234e-03""",AAA,"=""0.00000000000000""","=""[13.38596078751]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",,
"=""926.225670063""","=""8.2545e+06""","=""1.0617e-03""",AAA,"=""0.00000000000000""","=""[13.38596007869]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,
"=""926.225605""","=""3.8694e+05""","=""3.1850e-03""",AAA,"=""0.00000000000000""","=""13.38596103""","=""1s""","=""2S""","=""1/2""","=""8""","=""""","=""""",,
"=""930.7481751""","=""1.2362e+07""","=""3.2110e-03""",AAA,"=""0.00000000000000""","=""[13.320917704]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,
"=""930.7482489""","=""1.2362e+07""","=""1.6055e-03""",AAA,"=""0.00000000000000""","=""[13.320916647]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,
"=""930.748142""","=""7.5684e+05""","=""4.8164e-03""",AAA,"=""0.00000000000000""","=""13.32091817""","=""1s""","=""2S""","=""1/2""","=""7""","=""""","=""""",,
"=""937.803361139""","=""1.9728e+07""","=""5.2022e-03""",AAA,"=""0.00000000000000""","=""[13.22070314214]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
"=""937.803480320""","=""1.9728e+07""","=""2.6011e-03""",AAA,"=""0.00000000000000""","=""[13.22070146198]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
"=""937.80331""","=""1.6440e+06""","=""7.8035e-03""",AAA,"=""0.00000000000000""","=""13.22070389""","=""1s""","=""2S""","=""1/2""","=""6""","=""""","=""""",,
"=""949.7429095""","=""3.4375e+07""","=""9.2969e-03""",AAA,"=""0.00000000000000""","=""13.054501086""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
"=""949.74287""","=""4.1250e+06""","=""1.3945e-02""",AAA,"=""0.00000000000000""","=""13.0545017""","=""1s""","=""2S""","=""1/2""","=""5""","=""""","=""""",,
"=""949.7431207""","=""3.4375e+07""","=""4.6485e-03""",AAA,"=""0.00000000000000""","=""13.054498182""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
"=""972.53650""","=""1.2785e+07""","=""2.9006e-02""",AAA,"=""0.00000000000000""","=""12.7485393""","=""1s""","=""2S""","=""1/2""","=""4""","=""""","=""""",,
"=""972.536594376""","=""6.8185e+07""","=""1.9337e-02""",AAA,"=""0.00000000000000""","=""12.74853811674""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
"=""972.537026950""","=""6.8185e+07""","=""9.6686e-03""",AAA,"=""0.00000000000000""","=""12.74853244632""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
"=""1025.72182505""","=""1.6725e+08""","=""5.2761e-02""",AAA,"=""0.00000000000000""","=""12.0875071004""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
"=""1025.7220""","=""5.5751e+07""","=""7.9142e-02""",AAA,"=""0.00000000000000""","=""12.0875052""","=""1s""","=""2S""","=""1/2""","=""3""","=""""","=""""",,
"=""1025.72296565""","=""1.6725e+08""","=""2.6380e-02""",AAA,"=""0.00000000000000""","=""12.0874936591""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
"=""1215.668237310""","=""6.2647e+08""","=""2.7760e-01""",AAA,"=""0.00000000000000""","=""10.19885151459""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
"=""1215.673644608""","=""6.2648e+08""","=""1.3880e-01""",AAA,"=""0.00000000000000""","=""10.19880615024""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
"=""1215.6701""","=""4.6986e+08""","=""4.1641e-01""",AAA,"=""0.00000000000000""","=""10.1988358""","=""1s""","=""2S""","=""1/2""","=""2""","=""""","=""""",,
"=""3656.1647""","=""6.7464e+01""","=""5.4079e-05""",AAA,"=""10.1988358""","=""[13.58993566]""","=""2""","=""""","=""""","=""40""","=""""","=""""",,
"=""3656.6407""","=""7.6576e+01""","=""5.8368e-05""",AAA,"=""10.1988358""","=""[13.58949423]""","=""2""","=""""","=""""","=""39""","=""""","=""""",,
"=""3657.1549""","=""8.7206e+01""","=""6.3123e-05""",AAA,"=""10.1988358""","=""[13.58901750]""","=""2""","=""""","=""""","=""38""","=""""","=""""",,
"=""3657.7116""","=""9.9657e+01""","=""6.8410e-05""",AAA,"=""10.1988358""","=""[13.58850159]""","=""2""","=""""","=""""","=""37""","=""""","=""""",,
"=""3658.3154""","=""1.1430e+02""","=""7.4305e-05""",AAA,"=""10.1988358""","=""[13.58794208]""","=""2""","=""""","=""""","=""36""","=""""","=""""",,
"=""3658.9720""","=""1.3161e+02""","=""8.0898e-05""",AAA,"=""10.1988358""","=""[13.58733395]""","=""2""","=""""","=""""","=""35""","=""""","=""""",,
"=""3659.6876""","=""1.5216e+02""","=""8.8297e-05""",AAA,"=""10.1988358""","=""[13.58667137]""","=""2""","=""""","=""""","=""34""","=""""","=""""",,
"=""3660.4695""","=""1.7669e+02""","=""9.6627e-05""",AAA,"=""10.1988358""","=""[13.58594765]""","=""2""","=""""","=""""","=""33""","=""""","=""""",,
"=""3661.3263""","=""2.0612e+02""","=""1.0604e-04""",AAA,"=""10.1988358""","=""[13.58515502]""","=""2""","=""""","=""""","=""32""","=""""","=""""",,
"=""3662.2678""","=""2.4162e+02""","=""1.1672e-04""",AAA,"=""10.1988358""","=""[13.58428445]""","=""2""","=""""","=""""","=""31""","=""""","=""""",,
"=""3663.3056""","=""2.8474e+02""","=""1.2889e-04""",AAA,"=""10.1988358""","=""[13.58332538]""","=""2""","=""""","=""""","=""30""","=""""","=""""",,
"=""3664.4533""","=""3.3742e+02""","=""1.4281e-04""",AAA,"=""10.1988358""","=""[13.58226541]""","=""2""","=""""","=""""","=""29""","=""""","=""""",,
"=""3665.7269""","=""4.0224e+02""","=""1.5882e-04""",AAA,"=""10.1988358""","=""[13.58108984]""","=""2""","=""""","=""""","=""28""","=""""","=""""",,
"=""3667.1458""","=""4.8261e+02""","=""1.7732e-04""",AAA,"=""10.1988358""","=""[13.57978125]""","=""2""","=""""","=""""","=""27""","=""""","=""""",,
"=""3668.7327""","=""5.8304e+02""","=""1.9882e-04""",AAA,"=""10.1988358""","=""[13.57831878]""","=""2""","=""""","=""""","=""26""","=""""","=""""",,
"=""3670.5155""","=""7.0963e+02""","=""2.2395e-04""",AAA,"=""10.1988358""","=""[13.57667733]""","=""2""","=""""","=""""","=""25""","=""""","=""""",,
"=""3672.5279""","=""8.7069e+02""","=""2.5352e-04""",AAA,"=""10.1988358""","=""[13.57482645]""","=""2""","=""""","=""""","=""24""","=""""","=""""",,
"=""3674.8110""","=""1.0777e+03""","=""2.8854e-04""",AAA,"=""10.1988358""","=""[13.57272894]""","=""2""","=""""","=""""","=""23""","=""""","=""""",,
"=""3677.4160""","=""1.3467e+03""","=""3.3036e-04""",AAA,"=""10.1988358""","=""[13.57033894]""","=""2""","=""""","=""""","=""22""","=""""","=""""",,
"=""3680.4065""","=""1.7005e+03""","=""3.8070e-04""",AAA,"=""10.1988358""","=""[13.56759946]""","=""2""","=""""","=""""","=""21""","=""""","=""""",,
"=""3683.8627""","=""2.1719e+03""","=""4.4187e-04""",AAA,"=""10.1988358""","=""[13.56443886]""","=""2""","=""""","=""""","=""20""","=""""","=""""",,
"=""3687.8871""","=""2.8093e+03""","=""5.1695e-04""",AAA,"=""10.1988358""","=""[13.56076619]""","=""2""","=""""","=""""","=""19""","=""""","=""""",,
"=""3692.6119""","=""3.6851e+03""","=""6.1017e-04""",AAA,"=""10.1988358""","=""[13.55646454]""","=""2""","=""""","=""""","=""18""","=""""","=""""",,
"=""3698.2103""","=""4.9101e+03""","=""7.2738e-04""",AAA,"=""10.1988358""","=""[13.55138166]""","=""2""","=""""","=""""","=""17""","=""""","=""""",,
"=""3704.9132""","=""6.6583e+03""","=""8.7690e-04""",AAA,"=""10.1988358""","=""[13.54531624]""","=""2""","=""""","=""""","=""16""","=""""","=""""",,
"=""3713.0334""","=""9.2102e+03""","=""1.0708e-03""",AAA,"=""10.1988358""","=""[13.53799772]""","=""2""","=""""","=""""","=""15""","=""""","=""""",,
"=""3723.0035""","=""1.3032e+04""","=""1.3269e-03""",AAA,"=""10.1988358""","=""[13.52905552]""","=""2""","=""""","=""""","=""14""","=""""","=""""",,
"=""3735.4365""","=""1.8927e+04""","=""1.6728e-03""",AAA,"=""10.1988358""","=""[13.51797128]""","=""2""","=""""","=""""","=""13""","=""""","=""""",,
"=""3751.19082508""","=""4.8748e+05""","=""2.0568e-03""",AAA,"=""10.19880615024""","=""13.50400186581""","=""2p""","=""2P*""","=""1/2""","=""12d""","=""2D""","=""3/2""",,
"=""3751.191039""","=""2.9828e+04""","=""6.2925e-05""",AAA,"=""10.19880615024""","=""[13.504001678]""","=""2p""","=""2P*""","=""1/2""","=""12s""","=""2S""","=""1/2""",,
"=""3751.195789""","=""3.5544e+05""","=""1.4997e-03""",AAA,"=""10.19881052514816""","=""[13.504001867]""","=""2s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",,
"=""3751.196027""","=""3.5544e+05""","=""7.4983e-04""",AAA,"=""10.19881052514816""","=""[13.504001658]""","=""2s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",,
"=""3751.2244""","=""2.8337e+04""","=""2.1521e-03""",AAA,"=""10.1988358""","=""13.50400193""","=""2""","=""""","=""""","=""12""","=""""","=""""",,
"=""3751.24223202""","=""5.8495e+05""","=""1.8510e-03""",AAA,"=""10.19885151459""","=""13.50400193582""","=""2p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""5/2""",,
"=""3751.24231149""","=""9.7489e+04""","=""2.0567e-04""",AAA,"=""10.19885151459""","=""13.50400186581""","=""2p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""3/2""",,
"=""3751.242525""","=""5.9661e+04""","=""6.2932e-05""",AAA,"=""10.19885151459""","=""[13.504001678]""","=""2p""","=""2P*""","=""3/2""","=""12s""","=""2S""","=""1/2""",,
"=""3771.674243""","=""6.3659e+05""","=""2.7153e-03""",AAA,"=""10.19880615024""","=""[13.486051825]""","=""2p""","=""2P*""","=""1/2""","=""11d""","=""2D""","=""3/2""",,
"=""3771.674523""","=""3.8791e+04""","=""8.2729e-05""",AAA,"=""10.19880615024""","=""[13.486051581]""","=""2p""","=""2P*""","=""1/2""","=""11s""","=""2S""","=""1/2""",,
"=""3771.679261""","=""4.6164e+05""","=""1.9691e-03""",AAA,"=""10.19881052514816""","=""[13.486051827]""","=""2s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",,
"=""3771.679574""","=""4.6164e+05""","=""9.8453e-04""",AAA,"=""10.19881052514816""","=""[13.486051554]""","=""2s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",,
"=""3771.7081""","=""4.3972e+04""","=""2.8368e-03""",AAA,"=""10.1988358""","=""13.48605194""","=""2""","=""""","=""""","=""11""","=""""","=""""",,
"=""3771.726189""","=""7.6387e+05""","=""2.4437e-03""",AAA,"=""10.19885151459""","=""[13.486051916]""","=""2p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""5/2""",,
"=""3771.726294""","=""1.2731e+05""","=""2.7152e-04""",AAA,"=""10.19885151459""","=""[13.486051825]""","=""2p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""3/2""",,
"=""3771.726573""","=""7.7590e+04""","=""8.2740e-05""",AAA,"=""10.19885151459""","=""[13.486051581]""","=""2p""","=""2P*""","=""3/2""","=""11s""","=""2S""","=""1/2""",,
"=""3798.94836051""","=""8.5386e+05""","=""3.6949e-03""",AAA,"=""10.19880615024""","=""[13.46245141908]""","=""2p""","=""2P*""","=""1/2""","=""10d""","=""2D""","=""3/2""",,
"=""3798.948739""","=""5.1748e+04""","=""1.1196e-04""",AAA,"=""10.19880615024""","=""[13.462451094]""","=""2p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",,
"=""3798.953451""","=""6.1475e+05""","=""2.6602e-03""",AAA,"=""10.19881052514816""","=""[13.462451421]""","=""2s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",,
"=""3798.953874""","=""6.1476e+05""","=""1.3301e-03""",AAA,"=""10.19881052514816""","=""[13.462451058]""","=""2s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",,
"=""3798.9827""","=""7.1225e+04""","=""3.8526e-03""",AAA,"=""10.1988358""","=""13.46245155""","=""2""","=""""","=""""","=""10""","=""""","=""""",,
"=""3799.00102540""","=""1.0246e+06""","=""3.3254e-03""",AAA,"=""10.19885151459""","=""13.46245154007""","=""2p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""5/2""",,
"=""3799.00116625""","=""1.7076e+05""","=""3.6947e-04""",AAA,"=""10.19885151459""","=""[13.46245141908]""","=""2p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""3/2""",,
"=""3799.001545""","=""1.0351e+05""","=""1.1198e-04""",AAA,"=""10.19885151459""","=""[13.462451094]""","=""2p""","=""2P*""","=""3/2""","=""10s""","=""2S""","=""1/2""",,
"=""3836.443947""","=""1.1836e+06""","=""5.2234e-03""",AAA,"=""10.19880615024""","=""[13.430554096]""","=""2p""","=""2P*""","=""1/2""","=""9d""","=""2D""","=""3/2""",,
"=""3836.444479""","=""7.1201e+04""","=""1.5711e-04""",AAA,"=""10.19880615024""","=""[13.430553648]""","=""2p""","=""2P*""","=""1/2""","=""9s""","=""2S""","=""1/2""",,
"=""3836.449138""","=""8.4384e+05""","=""3.7240e-03""",AAA,"=""10.19881052514816""","=""[13.430554098]""","=""2s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",,
"=""3836.449729""","=""8.4385e+05""","=""1.8620e-03""",AAA,"=""10.19881052514816""","=""[13.430553600]""","=""2s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",,
"=""3836.4789""","=""1.2156e+05""","=""5.4317e-03""",AAA,"=""10.1988358""","=""13.43055424""","=""2""","=""""","=""""","=""9""","=""""","=""""",,
"=""3836.497603""","=""1.4203e+06""","=""4.7011e-03""",AAA,"=""10.19885151459""","=""[13.430554262]""","=""2p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""5/2""",,
"=""3836.497800""","=""2.3671e+05""","=""5.2233e-04""",AAA,"=""10.19885151459""","=""[13.430554096]""","=""2p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""3/2""",,
"=""3836.498332""","=""1.4242e+05""","=""1.5713e-04""",AAA,"=""10.19885151459""","=""[13.430553648]""","=""2p""","=""2P*""","=""3/2""","=""9s""","=""2S""","=""1/2""",,
"=""3890.12183558""","=""1.7103e+06""","=""7.7604e-03""",AAA,"=""10.19880615024""","=""13.38596078636""","=""2p""","=""2P*""","=""1/2""","=""8d""","=""2D""","=""3/2""",,
"=""3890.12261516""","=""1.0180e+05""","=""2.3096e-04""",AAA,"=""10.19880615024""","=""13.38596014765""","=""2p""","=""2P*""","=""1/2""","=""8s""","=""2S""","=""1/2""",,
"=""3890.12717403""","=""1.2025e+06""","=""5.4563e-03""",AAA,"=""10.19881052514816""","=""[13.38596078751]""","=""2s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",,
"=""3890.12803918""","=""1.2026e+06""","=""2.7284e-03""",AAA,"=""10.19881052514816""","=""[13.38596007869]""","=""2s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,
"=""3890.1577""","=""2.2148e+05""","=""8.0397e-03""",AAA,"=""10.1988358""","=""13.38596103""","=""2""","=""""","=""""","=""8""","=""""","=""""",,
"=""3890.17691799""","=""2.0523e+06""","=""6.9844e-03""",AAA,"=""10.19885151459""","=""13.385961022639""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""5/2""",,
"=""3890.17720639""","=""3.4205e+05""","=""7.7604e-04""",AAA,"=""10.19885151459""","=""13.38596078636""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""3/2""",,
"=""3890.17798599""","=""2.0363e+05""","=""2.3100e-04""",AAA,"=""10.19885151459""","=""13.38596014765""","=""2p""","=""2P*""","=""3/2""","=""8s""","=""2S""","=""1/2""",,
"=""3971.164910""","=""2.6093e+06""","=""1.2338e-02""",AAA,"=""10.19880615024""","=""[13.320917703]""","=""2p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",,
"=""3971.166123""","=""1.5289e+05""","=""3.6147e-04""",AAA,"=""10.19880615024""","=""[13.320916750]""","=""2p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",,
"=""3971.170473""","=""1.7972e+06""","=""8.4981e-03""",AAA,"=""10.19881052514816""","=""[13.320917704]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,
"=""3971.171818""","=""1.7972e+06""","=""4.2490e-03""",AAA,"=""10.19881052514816""","=""[13.320916647]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,
"=""3971.2020""","=""4.3889e+05""","=""1.2711e-02""",AAA,"=""10.1988358""","=""13.32091817""","=""2""","=""""","=""""","=""7""","=""""","=""""",,
"=""3971.222163""","=""3.1311e+06""","=""1.1104e-02""",AAA,"=""10.19885151459""","=""[13.320918056]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",,
"=""3971.222611""","=""5.2183e+05""","=""1.2338e-03""",AAA,"=""10.19885151459""","=""[13.320917703]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",,
"=""3971.223825""","=""3.0581e+05""","=""3.6152e-04""",AAA,"=""10.19885151459""","=""[13.320916750]""","=""2p""","=""2P*""","=""3/2""","=""7s""","=""2S""","=""1/2""",,
"=""4102.85985517""","=""4.2877e+06""","=""2.1641e-02""",AAA,"=""10.19880615024""","=""[13.22070313941]""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,
"=""4102.86191087""","=""2.4501e+05""","=""6.1832e-04""",AAA,"=""10.19880615024""","=""13.22070162532""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,
"=""4102.86579132""","=""2.8583e+06""","=""1.4427e-02""",AAA,"=""10.19881052514816""","=""[13.22070314214]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
"=""4102.86807250""","=""2.8584e+06""","=""7.2136e-03""",AAA,"=""10.19881052514816""","=""[13.22070146198]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
"=""4102.8991""","=""9.7320e+05""","=""2.2105e-02""",AAA,"=""10.1988358""","=""13.22070389""","=""2""","=""""","=""""","=""6""","=""""","=""""",,
"=""4102.92068748""","=""5.1450e+06""","=""1.9477e-02""",AAA,"=""10.19885151459""","=""13.22070369934""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,
"=""4102.92144772""","=""8.5748e+05""","=""2.1641e-03""",AAA,"=""10.19885151459""","=""[13.22070313941]""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,
"=""4102.92350348""","=""4.9006e+05""","=""6.1839e-04""",AAA,"=""10.19885151459""","=""13.22070162532""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,
"=""4341.647191""","=""7.8548e+06""","=""4.4395e-02""",AAA,"=""10.19880615024""","=""13.054501074""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
"=""4341.651159""","=""4.2955e+05""","=""1.2139e-03""",AAA,"=""10.19880615024""","=""[13.054498464]""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,
"=""4341.653824""","=""4.9483e+06""","=""2.7967e-02""",AAA,"=""10.19881052514816""","=""13.054501086""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
